# Outcome of every (configuration, instance family) cell of the option sweep.
# Generated by option_sweep_test; after reviewing a diff, regenerate with
#     GSS_SWEEP_REGENERATE=1 ./build/option_sweep_test
# A silent divergence fails the build whatever this file says; what this file is
# for is making a newly unsupported or newly vacuous cell show up as a reviewable
# diff rather than as nothing at all. See dev_docs/option-compatibility.md.
#
# config is one digit per option column, value 0 being the solver's default:
#   injectivity induced count clique-detection supplementals exact-paths distance3 k4 nds cliques cliques-on-supplementals staged restarts nogoods value-ordering 
# outcome: ok | unsupported (UnsupportedConfiguration thrown) | diverges
# activation: active if any optional filter removed anything in any instance of the cell
config	family	outcome	activation
000000000000000	clique-pattern	ok	vacuous
000000000000000	equal-size	ok	active
000000000000000	loopless-directed-elabels	ok	active
000000000000000	loopless-directed-unlabelled	ok	active
000000000000000	loopless-directed-vlabels	ok	active
000000000000000	loopless-directed-vlabels-elabels	ok	active
000000000000000	loopless-undirected-elabels	ok	active
000000000000000	loopless-undirected-unlabelled	ok	active
000000000000000	loopless-undirected-vlabels	ok	active
000000000000000	loopless-undirected-vlabels-elabels	ok	active
000000000000000	loopy-directed-elabels	ok	active
000000000000000	loopy-directed-unlabelled	ok	active
000000000000000	loopy-directed-vlabels	ok	active
000000000000000	loopy-directed-vlabels-elabels	ok	active
000000000000000	loopy-undirected-elabels	ok	active
000000000000000	loopy-undirected-unlabelled	ok	active
000000000000000	loopy-undirected-vlabels	ok	active
000000000000000	loopy-undirected-vlabels-elabels	ok	active
000000000000000	pattern-bigger-than-target	ok	vacuous
000000001100203	clique-pattern	ok	vacuous
000000001100203	equal-size	ok	active
000000001100203	loopless-directed-elabels	ok	active
000000001100203	loopless-directed-unlabelled	ok	active
000000001100203	loopless-directed-vlabels	ok	active
000000001100203	loopless-directed-vlabels-elabels	ok	active
000000001100203	loopless-undirected-elabels	ok	active
000000001100203	loopless-undirected-unlabelled	ok	active
000000001100203	loopless-undirected-vlabels	ok	active
000000001100203	loopless-undirected-vlabels-elabels	ok	active
000000001100203	loopy-directed-elabels	ok	active
000000001100203	loopy-directed-unlabelled	ok	active
000000001100203	loopy-directed-vlabels	ok	active
000000001100203	loopy-directed-vlabels-elabels	ok	active
000000001100203	loopy-undirected-elabels	ok	active
000000001100203	loopy-undirected-unlabelled	ok	active
000000001100203	loopy-undirected-vlabels	ok	active
000000001100203	loopy-undirected-vlabels-elabels	ok	active
000000001100203	pattern-bigger-than-target	ok	vacuous
000000010001110	clique-pattern	ok	vacuous
000000010001110	equal-size	ok	active
000000010001110	loopless-directed-elabels	ok	active
000000010001110	loopless-directed-unlabelled	ok	active
000000010001110	loopless-directed-vlabels	ok	active
000000010001110	loopless-directed-vlabels-elabels	ok	active
000000010001110	loopless-undirected-elabels	ok	active
000000010001110	loopless-undirected-unlabelled	ok	active
000000010001110	loopless-undirected-vlabels	ok	active
000000010001110	loopless-undirected-vlabels-elabels	ok	active
000000010001110	loopy-directed-elabels	ok	active
000000010001110	loopy-directed-unlabelled	ok	active
000000010001110	loopy-directed-vlabels	ok	active
000000010001110	loopy-directed-vlabels-elabels	ok	active
000000010001110	loopy-undirected-elabels	ok	active
000000010001110	loopy-undirected-unlabelled	ok	active
000000010001110	loopy-undirected-vlabels	ok	active
000000010001110	loopy-undirected-vlabels-elabels	ok	active
000000010001110	pattern-bigger-than-target	ok	vacuous
000002000000204	clique-pattern	ok	vacuous
000002000000204	equal-size	ok	active
000002000000204	loopless-directed-elabels	ok	active
000002000000204	loopless-directed-unlabelled	ok	active
000002000000204	loopless-directed-vlabels	ok	active
000002000000204	loopless-directed-vlabels-elabels	ok	active
000002000000204	loopless-undirected-elabels	ok	active
000002000000204	loopless-undirected-unlabelled	ok	active
000002000000204	loopless-undirected-vlabels	ok	active
000002000000204	loopless-undirected-vlabels-elabels	ok	active
000002000000204	loopy-directed-elabels	ok	active
000002000000204	loopy-directed-unlabelled	ok	active
000002000000204	loopy-directed-vlabels	ok	active
000002000000204	loopy-directed-vlabels-elabels	ok	active
000002000000204	loopy-undirected-elabels	ok	active
000002000000204	loopy-undirected-unlabelled	ok	active
000002000000204	loopy-undirected-vlabels	ok	active
000002000000204	loopy-undirected-vlabels-elabels	ok	active
000002000000204	pattern-bigger-than-target	ok	vacuous
000002111100011	clique-pattern	ok	vacuous
000002111100011	equal-size	ok	active
000002111100011	loopless-directed-elabels	ok	active
000002111100011	loopless-directed-unlabelled	ok	active
000002111100011	loopless-directed-vlabels	ok	active
000002111100011	loopless-directed-vlabels-elabels	ok	active
000002111100011	loopless-undirected-elabels	ok	active
000002111100011	loopless-undirected-unlabelled	ok	active
000002111100011	loopless-undirected-vlabels	ok	active
000002111100011	loopless-undirected-vlabels-elabels	ok	active
000002111100011	loopy-directed-elabels	ok	active
000002111100011	loopy-directed-unlabelled	ok	active
000002111100011	loopy-directed-vlabels	ok	active
000002111100011	loopy-directed-vlabels-elabels	ok	active
000002111100011	loopy-undirected-elabels	ok	active
000002111100011	loopy-undirected-unlabelled	ok	active
000002111100011	loopy-undirected-vlabels	ok	active
000002111100011	loopy-undirected-vlabels-elabels	ok	active
000002111100011	pattern-bigger-than-target	ok	vacuous
000010001000000	clique-pattern	ok	vacuous
000010001000000	equal-size	ok	active
000010001000000	loopless-directed-elabels	ok	active
000010001000000	loopless-directed-unlabelled	ok	active
000010001000000	loopless-directed-vlabels	ok	active
000010001000000	loopless-directed-vlabels-elabels	ok	active
000010001000000	loopless-undirected-elabels	ok	active
000010001000000	loopless-undirected-unlabelled	ok	active
000010001000000	loopless-undirected-vlabels	ok	active
000010001000000	loopless-undirected-vlabels-elabels	ok	active
000010001000000	loopy-directed-elabels	ok	active
000010001000000	loopy-directed-unlabelled	ok	active
000010001000000	loopy-directed-vlabels	ok	active
000010001000000	loopy-directed-vlabels-elabels	ok	active
000010001000000	loopy-undirected-elabels	ok	active
000010001000000	loopy-undirected-unlabelled	ok	active
000010001000000	loopy-undirected-vlabels	ok	active
000010001000000	loopy-undirected-vlabels-elabels	ok	active
000010001000000	pattern-bigger-than-target	ok	vacuous
000100001000000	clique-pattern	ok	active
000100001000000	equal-size	ok	active
000100001000000	loopless-directed-elabels	ok	active
000100001000000	loopless-directed-unlabelled	ok	active
000100001000000	loopless-directed-vlabels	ok	active
000100001000000	loopless-directed-vlabels-elabels	ok	active
000100001000000	loopless-undirected-elabels	ok	active
000100001000000	loopless-undirected-unlabelled	ok	active
000100001000000	loopless-undirected-vlabels	ok	active
000100001000000	loopless-undirected-vlabels-elabels	ok	active
000100001000000	loopy-directed-elabels	ok	active
000100001000000	loopy-directed-unlabelled	ok	active
000100001000000	loopy-directed-vlabels	ok	active
000100001000000	loopy-directed-vlabels-elabels	ok	active
000100001000000	loopy-undirected-elabels	ok	active
000100001000000	loopy-undirected-unlabelled	ok	active
000100001000000	loopy-undirected-vlabels	ok	active
000100001000000	loopy-undirected-vlabels-elabels	ok	active
000100001000000	pattern-bigger-than-target	ok	vacuous
000100001110000	clique-pattern	ok	active
000100001110000	equal-size	ok	active
000100001110000	loopless-directed-elabels	ok	active
000100001110000	loopless-directed-unlabelled	ok	active
000100001110000	loopless-directed-vlabels	ok	active
000100001110000	loopless-directed-vlabels-elabels	ok	active
000100001110000	loopless-undirected-elabels	ok	active
000100001110000	loopless-undirected-unlabelled	ok	active
000100001110000	loopless-undirected-vlabels	ok	active
000100001110000	loopless-undirected-vlabels-elabels	ok	active
000100001110000	loopy-directed-elabels	ok	active
000100001110000	loopy-directed-unlabelled	ok	active
000100001110000	loopy-directed-vlabels	ok	active
000100001110000	loopy-directed-vlabels-elabels	ok	active
000100001110000	loopy-undirected-elabels	ok	active
000100001110000	loopy-undirected-unlabelled	ok	active
000100001110000	loopy-undirected-vlabels	ok	active
000100001110000	loopy-undirected-vlabels-elabels	ok	active
000100001110000	pattern-bigger-than-target	ok	vacuous
000110000000000	clique-pattern	ok	active
000110000000000	equal-size	ok	active
000110000000000	loopless-directed-elabels	ok	active
000110000000000	loopless-directed-unlabelled	ok	active
000110000000000	loopless-directed-vlabels	ok	active
000110000000000	loopless-directed-vlabels-elabels	ok	active
000110000000000	loopless-undirected-elabels	ok	active
000110000000000	loopless-undirected-unlabelled	ok	active
000110000000000	loopless-undirected-vlabels	ok	active
000110000000000	loopless-undirected-vlabels-elabels	ok	active
000110000000000	loopy-directed-elabels	ok	active
000110000000000	loopy-directed-unlabelled	ok	active
